ID_registro;FID;Shape;Prob_DAR;Cordillera;Cuenca;Zona UTM;Departamen;Provincia;Distrito;UNIDAD_geo;TIPO_UNIDA;LITOLOGIA_;Este_m;Norte_m
34452;79;Point;0.777816;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;193425.12;9037941.91
34453;80;Point;0.784132;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;192500.48;9037817.77
34454;81;Point;0.775909;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;195463.74;9037831.46
34455;82;Point;0.77813;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;193522.86;9037768.62
34456;83;Point;0.77104;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;193452.31;9037609.01
34457;84;Point;0.763876;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;195493.03;9037584.2
34458;85;Point;0.776389;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;195734.07;9037429.36
34459;86;Point;0.768794;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;195892.34;9037275.57
34460;87;Point;0.784435;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;194300.9;9037241.55
34461;88;Point;0.759809;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;193799.49;9037014.97
34462;89;Point;0.78312;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;194487.87;9036854.86
34463;90;Point;0.802361;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;194810.42;9036903.08
34464;91;Point;0.759105;Blanca;Intercuenca Alto Marañón V;18;ANCASH;SIHUAS;SAN JUAN;Grupo Goyllarisquizga - FormaciÃ³n ChimÃº;Sedimentaria;Arenisca cuarzosa;208466.85;9036987.68
34465;92;Point;0.766074;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;193529.55;9036858.87
34466;93;Point;0.797711;Blanca;Intercuenca Alto Marañón V;18;ANCASH;SIHUAS;SAN JUAN;FormaciÃ³n OyÃ³n - Miembro superior;Sedimentaria;Areniscas, lutitas.;208051.54;9036794.41
34467;94;Point;0.77049;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca, caliza;193510.95;9036698.65
34468;95;Point;0.830106;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Batolito Cordillera Blanca;PlutÃ³nica;Granodiorita, tonalita;193195.06;9036475.96
34469;96;Point;0.83213;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;205340.48;9036365.2
34470;97;Point;0.771456;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Batolito Cordillera Blanca;PlutÃ³nica;Granodiorita, tonalita;192688.41;9035992.58
34471;98;Point;0.808863;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Batolito Cordillera Blanca;PlutÃ³nica;Granodiorita, tonalita;196192.89;9035733.7
34472;99;Point;0.842588;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Batolito Cordillera Blanca;PlutÃ³nica;Granodiorita, tonalita;195811.26;9035673.72
34473;100;Point;0.833975;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Batolito Cordillera Blanca;PlutÃ³nica;Granodiorita, tonalita;195995.55;9035605.9
34474;101;Point;0.830109;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Batolito Cordillera Blanca;PlutÃ³nica;Granodiorita, tonalita;195273.69;9035506.64
34475;102;Point;0.753887;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;205741.91;9035530.2
34476;103;Point;0.778378;Blanca;Intercuenca Alto Marañón V;18;ANCASH;SIHUAS;SAN JUAN;Grupo Goyllarisquizga - FormaciÃ³n Santa;Sedimentaria;Lutita, caliza mudstone, caliza bounstone;208566.96;9035405.94
34477;104;Point;0.804005;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;207180.41;9034941.34
34478;105;Point;0.787383;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;199953.29;9034834.26
34479;106;Point;0.836698;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;198783.88;9034708.92
34480;107;Point;0.793514;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;206934.73;9034572.24
34481;108;Point;0.770457;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;208581.72;9034242.82
34482;109;Point;0.763304;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;208129.65;9033588.43
34483;110;Point;0.770813;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;204516.82;9032764.16
34484;111;Point;0.762497;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Grupo Chicama - FormaciÃ³n Sapotal;Sedimentaria;Lutita, arenisca;180340.34;9032220.15
34485;112;Point;0.787372;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;DepÃ³sito glaciar, fluvial;Sedimento;Grava, arena, limo;206042.35;9028327.49
34486;113;Point;0.783293;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;206510.25;9026920.68
34487;114;Point;0.76484;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;DepÃ³sito aluvial;Sedimento;Grava, arena;194627.57;9026483.83
34488;115;Point;0.787541;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;207915.36;9026508.12
34489;116;Point;0.764415;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Batolito Cordillera Blanca;PlutÃ³nica;Granodiorita, tonalita;196323.31;9026220.44
34490;117;Point;0.761019;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Batolito de la Cordillera Blanca;PlutÃ³nica;Granodiorita, tonalita;197720.15;9026136.27
34491;118;Point;0.771129;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Batolito de la Cordillera Blanca;PlutÃ³nica;Granodiorita, tonalita;197877.25;9026067.82
34492;119;Point;0.767247;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Batolito de la Cordillera Blanca;PlutÃ³nica;Granodiorita, tonalita;199399.38;9025798.57
34493;120;Point;0.765734;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Sin denominaciÃ³n;Sin denominaciÃ³n; ;204343.9;9025600.25
34494;121;Point;0.757128;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Batolito de la Cordillera Blanca;PlutÃ³nica;Granodiorita, tonalita;198392.94;9024530.45
34495;122;Point;0.852711;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;205173.6;9024514.08
34496;123;Point;0.772053;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;Batolito de la Cordillera Blanca;PlutÃ³nica;Granodiorita, tonalita;197679.89;9024437.39
34497;124;Point;0.799894;Blanca;Cuenca Santa;18;ANCASH;HUAYLAS;YURACMARCA;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;205321.24;9023892.2
34498;125;Point;0.782435;Blanca;Intercuenca Alto Marañón V;18;ANCASH;POMABAMBA;POMABAMBA;Grupo Goyllarisquizga - FormaciÃ³n Carhuaz;Sedimentaria;Arenisca, lutita;215236.33;9021955
34499;126;Point;0.783432;Blanca;Intercuenca Alto Marañón V;18;ANCASH;POMABAMBA;POMABAMBA;Grupo Goyllarisquizga - FormaciÃ³n Carhuaz;Sedimentaria;Arenisca, lutita;215742.34;9022022.64
34500;127;Point;0.820841;Blanca;Intercuenca Alto Marañón V;18;ANCASH;POMABAMBA;POMABAMBA;Grupo Goyllarisquizga - FormaciÃ³n Carhuaz;Sedimentaria;Arenisca, lutita;215533.99;9022013.16
34501;128;Point;0.752869;Blanca;Intercuenca Alto Marañón V;18;ANCASH;POMABAMBA;POMABAMBA;Grupo Goyllarisquizga - FormaciÃ³n Carhuaz;Sedimentaria;Arenisca, lutita;215371.95;9021852.97
