ID_registro;X;Y;P;PROVINCIA;DISTRITO;ALIMENTO;CONTAMINAN;RESULTADO;COND_AN;ESTE;NORTE;ZONA
40874;-77.7869086132206;-9.08379160565178;27.000000;HUAYLAS;PUEBLO LIBRE;ARBEJA;ARSENICO;0.017;SIN PARAMETRO;193635.000000;8994707.000000;18
40875;-77.5762087245361;-10.1457613858893;28.000000;RECUAY;LLACLLIN;TOMATE;ARSENICO;<0.008;SIN PARAMETRO;217696.000000;8877353.000000;18
40876;-77.6172385486523;-10.1008098097211;29.000000;RECUAY;LLACLLIN;TOMATE;ARSENICO;<0.008;SIN PARAMETRO;213157.000000;8882292.000000;18
40877;-77.6172385486523;-10.1008098097211;30.000000;RECUAY;LLACLLIN;TOMATE;CADMIO;0.024;EXCEDE LMP;213157.000000;8882292.000000;18
40878;-77.7298607912299;-9.14615936336137;57.000000;YUNGAY;YUNGAY;MELOCOTON;ARSENICO;<0.025;SIN PARAMETRO;199963.000000;8987852.000000;18
40879;-77.7458796625995;-9.14008712056777;58.000000;YUNGAY;YUNGAY;CARNE DE BOVINO;ARSENICO;0.022;SIN PARAMETRO;198195.970000;8988510.680000;18
40880;-77.7458796625995;-9.14008712056777;59.000000;YUNGAY;YUNGAY;CARNE DE BOVINO;ARSENICO;0.02;SIN PARAMETRO;198195.970000;8988510.680000;18
40881;-78.1112078190736;-9.33876992636533;6.000000;CASMA;BUENA VISTA ALTA;MANZANA;ARSENICO;<0.012;SIN PARAMETRO;817346.000000;8966395.000000;17
40882;-78.0459139442399;-9.50749221489939;7.000000;CASMA;YAUTAN;MANGO;ARSENICO;<0.012;SIN PARAMETRO;824367.000000;8947658.000000;17
40883;-78.104833065876;-9.87763570582519;10.000000;HUARMEY;CULEBRAS;ESPARRAGO;ARSENICO;<0.025;SIN PARAMETRO;817543.340000;8906739.350000;17
40884;-78.150691055502;-10.0846198702218;11.000000;HUARMEY;HUARMEY;ESPARRAGO;ARSENICO;0.111;SIN PARAMETRO;812312.000000;8883871.000000;17
