ID_registro,Código ANA,Año de identificación,Intervención propuesta,Sector,Río o quebrada,Cuerpo de agua,Unidad hidrográfica declarada,Provincia,Distrito,Familias declaradas,Viviendas declaradas,Longitud de intervención,Presupuesto estimado (S/),Observación,Infraestructura afectada,Autoridad Administrativa del Agua,Administración Local de Agua
41187,2020-420,2020,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,Aquia,Qda.Pomay,Pomay,Pativilca,Bolognesi,Aquia,150,,0.5 km,98 367.47,,,03,0305
41188,2020-421,2020,Limpieza y descolmatación,Huallanca,Torres,Torres,Intercuenca Alto Marañón V,Bolognesi,Huallanca,30,,0.25 km,314 878.52,,,06,0611
41189,2020-422,2020,Construccion de defensa ribereña,Vira Bajo,Qda. Vira,Vira,Intercuenca Alto Marañon V,Huari,Huari,55,,0.05 km,378 180.14,,,06,0610
41190,2020-423,2020,Construccion de defensa ribereña,Acopalca,Qda. Sahal,Sahal,Intercuenca Alto Marañon V,Huari,Huari,38,,0.06 km,253 132.62,,,06,0610
41191,2020-424,2020,Limpieza y descolmatacion y resane de canal,Acopara,Qda. Carhuascancha,Carhuascancha,Intercuenca Alto Marañon V,Huari,Huantar,162,,0.05 km,48 755.28,,,06,0610
41192,2020-425,2020,Limpieza y descolmatacion y construccion dique enrocado,Huantar,Qda. Carhuascancha,Carhuascancha,Intercuenca Alto Marañon V,Huari,Huantar,28,,1 km,717 585.33,,,06,0610
41193,2020-426,2020,Defensa ribereña,Parco,Qda.Parco Grande,Parco Grande,Intercuenca Alto Marañón V,Pomabamba,Pomabamba,15,,0.285 km,801 375.33,,,06,0609
41194,2020-427,2020,Defensa ribereña,Jancapampa,Qda. Janca Pampa-Ñañayoc,Janca Pampa-Ñañayoc,Intercuenca Alto Marañón V,Pomabamba,Pomabamba,25,,0.851 km,2 161 721.97,,,06,0609
41195,2020-428,2020,Defensa ribereña,Parobamba,Qda. Chogo,Chogo,Intercuenca Alto Marañón V,Pomabamba,Parobamba,100,,0.807 km,1 548 057.83,,,06,0609
41196,2020-429,2020,Defensa ribereña,El Mangle,Qda. Huanchaj,Huanchaj,Intercuenca Alto Marañón V,Sihuas,Cashapampa,56,,0.16 km,55 059.73,,,06,0609
41197,2020-430,2020,Defensa ribereña,Lucerito-Chirimoyo,Qda. Colpa,Colpa,Intercuenca Alto Marañón V,Sihuas,Sihuas,62,,0.9 km,2 580 473.77,,,06,0609
41198,2020-431,2020,Defensa ribereña,Pachacutec,Qda. Pachacutec,Pachacutec,Intercuenca Alto Marañón V,Sihuas,Cashapampa,56,,0.228 km,82 514.31,,,06,0609
41199,2020-432,2020,Defensa ribereña,Huascar,Qda. Huascar,Huascar,Intercuenca Alto Marañón V,Sihuas,Cashapampa,50,,0.315 km,48 723.71,,,06,0609
41200,2020-433,2020,Defensa ribereña,Mitobamba,Shuas,Shuas,Intercuenca Alto Marañón V,Sihuas,Sihuas,12,,1.693 km,354 745.66,,,06,0609
41201,2020-434,2020,"limpieza,descolmatación y construcción dique con enrocado",Huayaupuquio,Pomabamba,Pomabamba,Intercuenca Alto Marañon V,Pomabamba,Huayllan,5,,2.567 km,5 085 979.20,,,06,0609
41202,2020-436,2020,"Limpieza, Descolmatacion y construccion de Dique con enrocado",Choquechaca,Santa,Santa,Santa,Huaylas,Huata,5,,0.97 km,111 746.38,,,04,0402
41203,2020-437,2020,"Limpieza, Descolmatacion y construccion de Dique con enrocado",Pariahuanca,Arroyo Grande,Arroyo Grande,Santa,Carhuaz,Pariahuanca,156,,1.71 km,1 449 476.00,,,04,0402
41204,2020-438,2020,"Limpieza, Descolmatacion y construccion de Dique con enrocado",Tarica,Qda. Lloclla,Lloclla,Santa,Huaraz,Tarica,125,,0.53 km,211 538.35,,,04,0402
41205,2020-439,2020,"Limpieza, Descolmatacion y construccion de Dique con enrocado",Caraz,Qda. Llullan,Llullan,Santa,Huaylas,Caraz,50,,1.844 km,593 255.96,,,04,0402
41206,2020-440,2020,"Limpieza, Descolmatacion y construccion de Dique con enrocado",Compina Cuchu,Santa,Santa,Santa,Recuay,Ticapampa,,,0.26 km,1 354 697.51,,,04,0402
41207,2020-441,2020,"Limpieza, Descolmatacion y construccion de Dique con enrocado",Compina,Santa,Santa,Santa,Recuay,Ticapampa,,,0.17 km,632 098.63,,,04,0402
41208,2020-442,2020,"Limpieza, Descolmatacion y construccion de Dique con enrocado",Llullucachi,Santa,Santa,Santa,Recuay,Ticapampa,,,0.34 km,663 508.31,,,04,0402
