ID_registro;N;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;RUC;MUNI_ADMINISTRA;COD_UF;DENOMINACIÓN;ZONA;ESTE;NORTE;PERIMETRO;ÁREA_M2;ÁREA_HA;MUNI_DISPONEN;CANT_DISP;SEGREGA;CRIANZA_ANIM;QUEMA_RRSS;RRSS_SALUD;RRSS_INDU;AGUAJAL;BOFEDAL;PANTANO;AMORTIGUAMIENTO_ANP;ANP;CATEGORIA;AÑO_INCORPORACION;DOCUMENTO_INCORPORACION;DOCUMENTO_ACTUALIZACION;PLAN_RECUPERACION_RECONVERSION
37754;1385;130801;La Libertad;Pataz;Tayabamba;20226962892;MUNICIPALIDAD PROVINCIAL DE PATAZ;UF0010841;Botadero Urpaycito;18;244892.0;9088069.0;288.339419;2994.324517;0.299432;Municipalidad provincial de Pataz;2.5;Si;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
37755;1386;130902;La Libertad;Sanchez Carrion;Chugay;20205367994;CONCEJO DISTRITAL CHUGAY;UF0010528;Botadero Sector Chogollpaque;18;187090.0;9138509.0;173.858119;2014.489187;0.201449;Municipalidad distrital de Chugay, Municipalidad distrital de Sanagoran;6.4;No;No;Si;No;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
37756;1387;130903;La Libertad;Sanchez Carrion;Cochorco;20197793431;MUNICIPALIDAD DISTRITAL DE COCHORCO;UF0010627;Botadero Sector Lucma;18;200938.0;9135392.0;141.696749;1122.982773;0.112298;Municipalidad distrital de Cochorco;6.3;No;No;Si;Si;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
37757;1388;130904;La Libertad;Sanchez Carrion;Curgos;20213758293;MUNICIPALIDAD DISTRITAL DE CURGOS;UF0010541;Botadero Sector Cruz Verde - la Conga;18;172941.0;9133338.0;157.841411;1564.85431;0.156485;Municipalidad distrital de Curgos;5.7;Si;No;No;No;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
37758;1389;130901;La Libertad;Sanchez Carrion;Huamachuco;20141897935;MUNICIPALIDAD PROVINCIAL SANCHEZ CARRION;UF0010840;Botadero Coipín;17;824963.0;9137078.0;214.646986;2596.534072;0.259653;Municipalidad provincial de Sanchez Carrión;45.6;No;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;R.A. N° 171-2020-MPSC
37759;1390;130905;La Libertad;Sanchez Carrion;Marcabal;20208154428;MUNICIPALIDAD DISTRITAL MARCABAL;UF0010570;Botadero Sector El Minyo;17;827040.0;9146851.0;85.30248;392.017681;0.039202;Municipalidad distrital de Marcabal, Municipalidad distrital de Compin;4.3;No;No;Si;No;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
37760;1391;130906;La Libertad;Sanchez Carrion;Sanagoran;20219792876;MUNICIPALIDAD DISTRITAL DE SANAGORAN;UF0010455;Botadero Sanagoran;17;815517.0;9138146.0;97.722514;594.62117;0.059462;Municipalidad distrital de Sanagoran, Municipalidad distrital de Chugay;0;No;No;Si;No;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;Resolución N.° 00024-2025-OEFA/DSIS;
37761;1392;130906;La Libertad;Sanchez Carrion;Sanagoran;20219792876;MUNICIPALIDAD DISTRITAL DE SANAGORAN;UF0042041;Botadero Sector Shilomas;17;814775.0;9135738.0;83.6;381;0.038;Municipalidad distrital de Sanagoran;0;No;No;No;No;No;No;No;No;No;No;Recuperación;2025;Resolución N.° 00024-2025-OEFA/DSIS;;
37762;1393;130906;La Libertad;Sanchez Carrion;Sanagoran;20219792876;MUNICIPALIDAD DISTRITAL DE SANAGORAN;UF0042042;Botadero Sector Agopampa;17;816518.0;9138410.0;178;1863;0.18;Municipalidad distrital de Sanagoran;1.14;Si;No;No;No;No;No;No;No;No;No;Recuperación;2025;Resolución N.° 00024-2025-OEFA/DSIS;;
37763;1394;130907;La Libertad;Sanchez Carrion;Sarin;20207747204;MUNICIPALIDAD DISTRITAL DE SARIN;UF0010577;Botadero Sector El Tunel;18;177829.0;9128925.0;166.38349;1403.022534;0.140302;Municipalidad distrital de Sarin;6.7;No;No;No;No;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
37764;1395;130907;La Libertad;Sanchez Carrion;Sarin;20207747204;MUNICIPALIDAD DISTRITAL DE SARIN;UF0041361;Botadero Sector El Alizo;18;180485.0;9126052.0;255;1500;0.15;Municipalidad distrital de Sarin;7;No;No;No;No;No;No;No;No;No;No;Recuperación;2025;Resolución N° 00019-2025-OEFA/DSIS;;
37765;1396;130908;La Libertad;Sanchez Carrion;Sartimbamba;20275306721;MUNICIPALIDAD DISTRITAL DE SARTIMBAMBA;UF0018184;Botadero Palo Redondo;18;202012.9;9147416.72;10000;10000;1;Municipalidad distrital de Sartibamba;0.3;No;No;No;Si;No;No;No;No;No;No;Recuperación;2022;Resolución N.° 00018-2022-OEFA/DSIS;;
37766;1397;130908;La Libertad;Sanchez Carrion;Sartimbamba;20275306721;MUNICIPALIDAD DISTRITAL DE SARTIMBAMBA;UF0010494;Botadero Sector Blanquillo;18;197355.0;9147617.0;186.376374;1856.588421;0.185659;Municipalidad distrital de Sartimbamba, Municipalidad distrital de Huaranchal;9.2;No;No;Si;No;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
37767;1398;131002;La Libertad;Santiago de Chuco;Angasmarca;20201403724;MUNICIPALIDAD DISTRITAL DE ANGASMARCA;UF0010576;Botadero Sector El Totoropampa;17;825335.0;9099718.0;173;2000;0.2;Municipalidad distrital de Angasmarca;5;No;Si;Si;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;Resolución N.° 00024-2025-OEFA/DSIS;
37768;1399;131003;La Libertad;Santiago de Chuco;Cachicadan;20219792957;MUNICIPALIDAD DISTRITAL DE CACHICADAN;UF0010606;Botadero Sector La Concepción;17;814335.0;9102963.0;303.188339;5116.979415;0.511698;Municipalidad distrital de Cachicadan;5.4;No;No;Si;No;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
37769;1400;131004;La Libertad;Santiago de Chuco;Mollebamba;20314566816;MUNICIPALIDAD DISTRITAL DE MOLLEBAMBA;UF0010520;Botadero Sector Charrapampa;18;169847.0;9098610.0;262.222908;3340.972638;0.334097;Municipalidad distrital de Mollebamba;1.6;No;No;Si;Si;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;Resolución N.° 00062-2024-OEFA/DSIS;
37770;1401;131004;La Libertad;Santiago de Chuco;Mollebamba;20314566816;MUNICIPALIDAD DISTRITAL DE MOLLEBAMBA;UF0038518;Botadero de la Municipalidad distrital de Mollebamba;18;171717.0;9098879.0;695;25900;2.59;Municipalidad distrital de Mollebamba;0.49;No;No;Si;No;No;No;No;No;No;No;Recuperación;2024;Resolución N°00087 -2024-OEFA/DSIS;;
37771;1402;131005;La Libertad;Santiago de Chuco;Mollepata;20275974243;MUNICIPALIDAD DISTRITAL DE MOLLEPATA;UF0010649;Botadero Sector Paccha;18;175909.0;9098649.0;104.014201;564.020321;0.056402;Municipalidad distrital de Mollepata;1.8;No;No;Si;Si;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
37772;1403;131006;La Libertad;Santiago de Chuco;Quiruvilca;20192751919;MUNICIPALIDAD DISTRITAL DE QUIRUVILCA;UF0010582;Botadero Sector Graciela;17;797690.0;9115493.0;759.003508;20432.051483;2.043205;Municipalidad distrital de Quiruvilca;9;Si;No;No;No;Si;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
